id,app,category,rating,review,date,helpful_votes,verified_purchase,device_type,app_version
217,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #217)",2024-01-13,11,True,,5.3.1
218,Lookback,user research,1,Several pain points keep me from recommending this release. (Lookback review #218),2024-02-26,33,True,,
219,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #219)",2023-06-15,45,True,mobile,
220,Maze,usability testing,2,It works for basic tasks but important workflows feel unfinished. (Maze review #220),2023-12-10,31,True,desktop,4.1.0
221,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #221),2024-03-16,3,False,mobile,4.1.0
222,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #222),2024-01-18,9,True,mobile,
223,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #223),2023-06-03,36,True,mobile,
224,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #224),2023-04-19,21,True,mobile,3.2.0
225,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #225),2023-11-22,43,False,desktop,2.0.0
226,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #226)",2023-05-28,47,True,mobile,2.1.0
227,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #227)",2023-05-05,13,True,tablet,
228,Dovetail,research repository,2,It works for basic tasks but important workflows feel unfinished. (Dovetail review #228),2023-06-19,26,True,mobile,2.0.0
229,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #229),2023-11-07,21,True,mobile,2.5.3
230,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #230),2023-03-19,29,True,desktop,
231,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #231),2024-04-07,6,True,mobile,5.1.0
232,Fieldkit,field research,1,Several pain points keep me from recommending this release. (Fieldkit review #232),2023-12-13,29,False,desktop,2.6.0
233,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #233),2023-10-07,32,True,desktop,
234,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #234),2023-11-01,3,True,tablet,4.1.0
235,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #235),2023-08-12,2,True,tablet,
236,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #236)",2023-07-24,20,True,mobile,5.1.0
237,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #237),2024-05-13,10,True,,4.0.1
238,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #238),2023-08-09,39,True,,2.6.0
239,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #239),2024-01-21,11,True,desktop,3.2.0
240,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #240),2024-02-19,22,False,desktop,2.1.0
241,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #241),2023-01-19,36,True,tablet,3.2.0
242,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #242)",2023-08-25,25,True,desktop,5.2.0
243,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #243)",2023-02-11,29,True,mobile,4.1.0
244,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #244),2024-04-08,44,True,mobile,3.1.2
245,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #245),2024-04-24,25,True,mobile,2.5.3
246,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #246),2023-10-28,47,False,mobile,3.2.0
247,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #247),2023-03-02,3,True,mobile,3.1.2
248,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #248),2023-09-15,32,True,,5.2.0
249,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #249),2023-09-15,44,True,desktop,4.0.1
250,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #250),2023-09-04,26,True,mobile,
251,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #251),2023-08-23,46,True,mobile,2.6.0
252,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #252),2023-09-14,21,True,desktop,2.1.0
253,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #253),2023-04-01,20,True,,5.1.0
254,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #254),2023-03-14,4,False,mobile,
255,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #255),2023-10-21,0,False,mobile,3.1.2
256,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #256),2023-08-04,17,True,,4.1.0
257,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #257),2023-09-27,35,True,desktop,3.2.0
258,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #258)",2023-01-17,10,True,tablet,
259,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #259),2023-10-12,46,True,tablet,4.0.1
260,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #260),2023-02-22,45,True,desktop,
261,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #261)",2024-04-28,8,True,mobile,2.5.3
262,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #262),2023-11-10,9,True,desktop,3.1.0
263,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #263),2023-07-17,30,True,desktop,2.5.0
264,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #264),2023-07-26,13,False,desktop,2.1.4
265,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #265)",2023-03-18,11,True,mobile,2.0.0
266,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #266),2024-03-28,45,False,desktop,3.1.2
267,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #267),2023-03-20,36,True,,3.1.2
268,Maze,usability testing,1,Several pain points keep me from recommending this release. (Maze review #268),2024-02-29,17,True,desktop,4.1.0
269,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #269),2024-02-08,10,True,mobile,2.6.0
270,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #270),2023-05-24,16,False,mobile,5.1.0
271,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #271),2023-12-08,12,True,tablet,3.1.2
272,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #272)",2023-10-19,36,False,mobile,4.1.0
273,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #273),2023-01-05,47,True,desktop,
274,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #274),2023-02-24,25,False,desktop,5.2.0
275,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #275),2023-11-16,34,True,tablet,2.6.0
276,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #276),2023-07-20,44,True,mobile,2.0.0
277,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #277),2023-04-12,18,False,tablet,5.2.0
278,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #278),2023-12-01,39,False,,3.1.0
279,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #279)",2023-06-01,45,False,mobile,4.0.1
280,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #280),2023-05-01,47,True,mobile,4.0.1
281,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #281),2024-05-07,44,True,desktop,2.6.0
282,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #282),2023-10-18,38,False,desktop,3.2.0
283,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #283)",2023-05-15,1,False,mobile,
284,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #284),2023-06-10,30,True,mobile,5.2.0
285,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #285),2023-02-10,26,True,tablet,2.0.0
286,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #286),2023-09-10,27,True,mobile,5.2.0
287,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #287),2023-07-26,19,True,mobile,2.1.4
288,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #288),2024-01-10,38,True,desktop,2.1.0
289,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #289),2023-08-01,15,True,,
290,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #290),2023-09-21,6,True,mobile,2.1.0
291,Dovetail,research repository,2,It works for basic tasks but important workflows feel unfinished. (Dovetail review #291),2023-04-05,25,True,mobile,2.1.4
292,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #292),2024-05-07,21,True,,3.1.0
293,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #293),2023-04-24,5,True,tablet,
294,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #294),2024-01-15,47,False,mobile,2.5.3
295,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #295)",2023-03-30,1,True,mobile,
296,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #296)",2024-05-03,15,True,mobile,4.0.1
297,Maze,usability testing,2,It works for basic tasks but important workflows feel unfinished. (Maze review #297),2023-03-30,12,True,desktop,4.1.0
298,Fieldkit,field research,2,It works for basic tasks but important workflows feel unfinished. (Fieldkit review #298),2024-03-21,13,True,desktop,2.6.0
299,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #299),2023-02-02,0,False,tablet,2.5.0
300,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #300),2024-04-06,27,True,mobile,2.1.4
301,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #301)",2023-01-11,1,True,mobile,4.1.0
302,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #302),2023-02-21,7,True,mobile,3.1.2
303,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #303),2023-10-31,10,False,tablet,2.5.3
304,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #304)",2023-12-04,21,True,desktop,2.1.0
305,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #305),2023-02-05,21,True,tablet,4.1.0
306,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #306),2023-11-10,42,True,mobile,5.1.0
307,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #307),2023-01-06,26,True,desktop,3.1.0
308,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #308),2023-10-24,43,True,,2.5.3
309,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #309),2023-10-02,32,True,desktop,
310,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #310)",2023-03-17,43,True,tablet,2.5.0
311,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #311),2024-02-09,31,True,mobile,4.0.1
312,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #312),2023-12-29,9,True,desktop,
313,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #313),2023-10-27,46,True,mobile,5.3.1
314,Lookback,user research,1,Several pain points keep me from recommending this release. (Lookback review #314),2024-03-11,23,False,desktop,
315,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #315),2023-10-07,14,False,desktop,2.6.0
316,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #316),2023-08-27,37,False,mobile,5.2.0
317,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #317),2024-01-06,10,True,mobile,3.2.0
318,Miro,collaborative whiteboard,1,Several pain points keep me from recommending this release. (Miro review #318),2023-01-23,5,False,mobile,3.1.2
319,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #319),2023-08-30,34,False,mobile,5.2.0
320,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #320),2023-01-10,15,True,desktop,3.1.2
321,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #321),2023-09-29,30,True,mobile,2.0.0
322,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #322),2023-11-02,30,True,desktop,5.3.1
323,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #323),2023-09-19,38,True,,
324,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #324),2023-04-21,34,False,mobile,2.0.0
325,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #325),2023-02-21,41,True,mobile,3.1.2
326,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #326)",2023-11-07,28,True,desktop,3.2.0
327,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #327),2023-05-03,8,True,tablet,
328,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #328),2023-01-22,41,True,mobile,3.1.0
329,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #329),2023-10-15,21,True,desktop,2.0.0
330,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #330),2023-07-26,3,True,desktop,2.0.0
331,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #331),2023-03-11,39,False,mobile,3.1.2
332,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #332),2024-04-07,20,True,,3.1.0
333,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #333)",2023-11-01,44,False,tablet,3.1.2
334,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #334),2023-01-09,14,False,mobile,2.6.0
335,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #335),2023-09-17,45,True,tablet,3.1.2
336,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #336),2023-01-07,41,True,desktop,2.6.0
337,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #337),2023-12-24,46,True,desktop,4.0.1
338,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #338),2024-03-28,11,True,tablet,2.6.0
339,Miro,collaborative whiteboard,1,Several pain points keep me from recommending this release. (Miro review #339),2023-04-06,26,False,,3.2.0
340,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #340),2023-02-09,3,True,mobile,5.3.1
341,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #341),2023-01-31,29,True,mobile,
342,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #342),2024-04-14,29,True,tablet,5.2.0
343,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #343),2023-07-28,30,True,desktop,4.1.0
344,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #344),2023-09-08,7,False,mobile,5.2.0
345,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #345),2024-01-05,34,True,mobile,3.1.0
346,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #346),2023-12-18,35,True,desktop,
347,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #347),2023-04-02,40,True,mobile,4.1.0
348,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #348),2023-08-25,34,True,tablet,3.1.2
349,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #349),2023-09-30,14,True,mobile,2.1.4
350,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #350),2024-04-29,6,True,mobile,2.6.0
351,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #351)",2023-01-12,17,True,mobile,
352,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #352),2024-04-29,8,False,desktop,
353,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #353),2023-07-08,10,False,desktop,5.3.1
354,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #354),2023-08-20,28,True,desktop,3.2.0
355,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #355),2023-09-18,35,False,mobile,2.0.0
356,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #356),2023-04-18,45,True,desktop,
357,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #357),2024-03-05,31,False,tablet,
358,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #358)",2023-07-09,9,True,tablet,5.3.1
359,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #359)",2024-01-28,11,True,tablet,2.1.0
360,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #360),2023-11-06,22,False,mobile,
361,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #361),2024-04-08,5,False,tablet,2.5.0
362,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #362),2023-02-17,33,True,tablet,2.1.0
363,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #363)",2024-05-08,26,False,desktop,
364,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #364),2023-03-17,21,False,,3.1.0
365,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #365),2023-12-02,32,False,mobile,2.6.0
366,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #366),2023-06-19,14,True,mobile,5.1.0
367,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #367),2023-07-27,22,True,desktop,3.2.0
368,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #368)",2024-01-12,6,False,mobile,5.1.0
369,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #369),2023-09-13,16,True,mobile,2.5.0
370,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #370),2024-02-27,35,False,mobile,
371,Lookback,user research,1,Several pain points keep me from recommending this release. (Lookback review #371),2023-09-18,15,True,mobile,5.3.1
372,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #372),2023-01-18,21,True,mobile,3.2.0
373,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #373),2024-04-21,12,False,tablet,3.1.2
374,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #374),2023-04-05,5,False,mobile,2.5.3
375,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #375),2024-03-18,33,True,mobile,2.1.0
376,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #376),2023-05-22,6,True,,2.5.0
377,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #377),2023-03-18,8,True,mobile,
378,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #378),2023-12-10,6,True,,4.0.1
379,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #379),2023-09-29,13,True,mobile,
380,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #380),2023-08-16,6,True,desktop,3.1.0
381,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #381),2023-08-09,33,True,mobile,
382,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #382),2023-07-27,26,True,desktop,
383,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #383),2023-09-18,12,True,mobile,2.0.0
384,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #384),2023-08-01,1,False,mobile,3.2.0
385,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #385),2023-11-04,14,True,mobile,
386,Fieldkit,field research,2,It works for basic tasks but important workflows feel unfinished. (Fieldkit review #386),2023-07-06,15,False,desktop,2.5.3
387,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #387),2024-01-15,5,True,mobile,5.2.0
388,Maze,usability testing,1,Several pain points keep me from recommending this release. (Maze review #388),2023-01-07,21,True,,4.0.1
389,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #389),2023-06-17,21,True,mobile,
390,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #390),2023-06-11,18,True,desktop,
391,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #391),2024-01-18,38,False,desktop,5.1.0
392,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #392),2023-07-08,40,True,mobile,4.1.0
393,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #393),2023-04-13,28,False,mobile,
394,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #394),2023-03-14,1,True,desktop,
395,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #395),2023-11-13,24,False,tablet,
396,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #396),2024-01-14,16,True,desktop,
397,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #397),2024-03-03,20,True,desktop,5.3.1
398,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #398),2023-02-20,4,True,desktop,3.2.0
399,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #399),2024-02-21,45,True,desktop,
400,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #400),2023-06-12,1,True,mobile,2.6.0
401,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #401),2023-10-28,11,True,mobile,
402,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #402)",2024-01-17,43,True,,2.5.0
403,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #403),2024-01-20,37,True,mobile,2.1.0
404,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #404),2023-11-13,12,True,mobile,5.3.1
405,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #405),2024-05-06,47,False,desktop,
406,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #406),2024-01-04,2,True,desktop,2.1.0
407,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #407)",2023-08-11,46,True,mobile,
408,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #408),2023-10-01,25,False,mobile,3.1.0
409,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #409),2024-02-01,16,True,desktop,2.0.0
410,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #410),2024-05-08,9,True,tablet,3.1.0
411,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #411),2023-02-08,21,True,tablet,2.0.0
412,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #412),2024-02-26,24,True,mobile,5.1.0
413,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #413),2023-01-02,23,False,desktop,5.1.0
414,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #414),2024-05-04,13,False,mobile,5.2.0
415,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #415),2023-01-10,6,True,,2.0.0
416,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #416),2023-01-26,34,True,mobile,3.2.0
417,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #417),2024-05-07,12,True,desktop,3.2.0
418,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #418),2023-09-10,2,True,mobile,2.5.0
419,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #419),2023-10-01,20,True,desktop,3.1.0
420,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #420),2024-04-10,35,False,mobile,3.1.2
421,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #421),2024-05-08,46,False,mobile,
422,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #422),2024-05-01,12,True,desktop,5.3.1
423,Miro,collaborative whiteboard,1,Several pain points keep me from recommending this release. (Miro review #423),2023-09-10,34,False,tablet,3.2.0
424,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #424)",2023-03-23,21,True,desktop,5.1.0
425,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #425),2023-05-20,19,True,desktop,3.2.0
426,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #426),2024-03-07,18,False,mobile,3.1.0
427,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #427),2023-09-23,43,True,mobile,5.3.1
428,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #428),2023-04-24,8,True,,3.2.0
429,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #429),2023-05-31,9,True,mobile,5.1.0
430,Maze,usability testing,2,It works for basic tasks but important workflows feel unfinished. (Maze review #430),2023-07-21,18,True,mobile,4.1.0
431,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #431),2023-04-11,34,True,mobile,
432,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #432),2023-12-07,22,False,tablet,3.1.0
